code accident;date;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1617-73-03;14/01/2017;14:00;73;bonneval sur arc;haute maurienne;plan de l'aigle NO Ouille Motta;;;2300;40-44;NO;5;2;0;0;0;2;0;0;2;randonn‚e;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;240;50;;;;
1617-73-04;14/01/2017;13:00;73;saint bon tarentaise;vanoise;saulire;;;;;;;1;1;1;0;0;0;0;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-05;19/01/2017;11:50;73;saint bon tarentaise;vanoise;col du biol;45.224452;6.411404;2430;30-34;O;15;1;1;1;0;0;0;0;1;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;120;50;30;;;
1617-73-06;20/01/2017;14:30;73;sainte foy tarentaise;haute-tarentaise;col de l'argentiere archeboc;45.355277;6.573375;2150;35-39;NO;3;1;1;1;0;0;1;0;0;randonn‚e;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;130;200;50;;;
1617-73-07;28/01/2017;16:17;73;montricher albane;maurienne;combe des sallanches;45.11494;6.232114;2460;35-39;NE;2;1;0;0;0;1;0;1;0;randonn‚e;ski;descente;3;sŠche;;lin‚aire;accidentelle tiers;220;20;40;;;
1617-73-08;05/02/2017;14:40;73;modane;haute maurienne;couloir en Y du seuil;45.95076;6.395686;2240;35-39;NE;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;430;40;100;;;
1617-73-09;12/02/2017;14:55;73;le chatel;vanoise;la barniŠre;45.19464;6.22149;1490;;;5;1;0;0;0;0;0;0;1;randonn‚e;;;3;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-10;13/02/2017;10:35;73;tignes;haute-tarentaise;pentes du lavachet;45.275474;6.55635;2450;40-44;NO;4;4;4;4;0;0;4;0;0;hors-piste;… pieds;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;330;50;100;;;
1617-73-11;16/02/2017;11:00;73;lanslevillard;haute maurienne;secteur pas de l'arcelle;45.164538;6.570931;2450;35-39;NE;9;5;0;0;0;5;0;0;5;randonn‚e;ski;travers‚e;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;160;200;70;;;
1617-73-12;03/03/2017;14:25;73;villaroger;vanoise;combe des lanchettes;;;2300;;;7;5;0;0;0;0;0;0;5;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-14;07/03/2017;16:00;73;modane;haute maurienne;couloir du seuil;45.95005;6.395724;2251;35-39;NE;3;3;2;2;0;1;3;0;0;hors-piste;snowboard;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;475;115;200;;;
1617-73-15;30/04/2017;12:05;73;bourg saint maurice;beaufortain;versant nord col nova;;;;;;1;1;0;0;0;1;0;1;0;randonn‚e;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-16;05/05/2017;;73;avrieux;haute maurienne;face NO aiguille scolette;;;;;;2;2;0;0;0;0;0;1;1;randonn‚e;;;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-17;09/05/2017;11:00;73;bonneval sur arc;haute maurienne;col du greffier couloir;45.204138;7.54464;2990;>45;NO;3;3;0;0;0;3;3;0;0;alpinisme;… pieds;mont‚e;;sŠche;dure;lin‚aire;accidentelle soi-mˆme;350;40;100;;;
1617-73-18;20/05/2017;18:10;73;sainte foy tarentaise;haute tarentaise;face nord pointe des plates des chamois sous point cot‚ 3441 m;45.321801;6.582003;3240;>45;N;2;1;0;0;0;0;1;0;0;randonn‚e;ski;descente;;humide;tendre;lin‚aire;accidentelle soi-mˆme;640;;;;;
1617-73-19;13/11/2016;11:15;73;tignes;haute tarentaise;face nord pointe du chardonnet;;;2800;;;4;1;0;0;0;0;0;0;1;randonn‚e;ski;mont‚e;;;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-20;01/03/2017;15:00;73;lanslevillard;haute maurienne;pas du loup;;;2250;>45;;3;1;0;0;0;0;0;1;0;randonn‚e;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-73-13;07/03/2017;09:45;73;tignes;haute tarentaise;grande balme piste Carline;45.264309;6.53877;2650;40-44;N;33;33;6;1;5;14;0;2;31;piste;ski;descente;4;sŠche;tendre;lin‚aire;naturelle;350;120;200;;;
1011-65-02;08/05/2011;10:00;65;gedre;haute bigorre;pic de Gabiedou;42.719622875365395;0.09459442206330827;2280;>45;NO;2;1;1;;;;1;0;0;randonn‚e;;mont‚e;;humide;tendre;lin‚aire;naturelle;100;;;;;
1617-74-01;12/02/2017;13:15;74;la clusaz;aravis;combe du rocher jaune face N pointe merdassier;45.86422029545258;6.450720593279136;1970;35-39;N;4;2;1;1;0;0;1;0;1;randonn‚e;ski;descente;2;sŠche;tendre;lin‚aire;accidentelle tiers;320;100;;;;
