code accident;date;heure;d‚partement;commune;massif;site;"coordonn‚es
zone d‚part";altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1516-73-03;05/01/2016;10:24;73;val d'isere;haute tarentaise;HP du Cairn / Bellevarde;"45ø26'39"" / 6ø57'17""";2650;40-44;E;3;3;2;2;0;0;0;1;2;hors-piste;ski;travers‚e;4;sŠche;;lin‚aire;accidentelle soi-mˆme;80;70;;;;
1516-73-04;09/01/2016;13:00;73;les allues;vanoise;mont de p‚clet;;;;;1;1;0;0;0;0;0;0;1;hors-piste;ski;descente;;sŠche;;lin‚aire;accidentelle soi-mˆme;150;;;;;
1516-73-05;13/01/2016;13:54;73;tignes;haute tarentaise;pentes du lac de Tignes;"45ø27'51"" / 6ø54'38";2205;35-39;NO;1;1;0;0;0;1;0;1;0;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;125;80;100;;;
1516-73-06;17/01/2016;16:30;73;saint martin de belleville;vanoise;piste david douillet;;;;;1;1;0;0;0;0;0;0;1;piste;ski;descente;3;;;lin‚aire;;;30;;;;
1516-73-07;18/01/2016;15:05;73;tignes;haute tarentaise;couloir des gendarmes;;2600;35-39;NE;4;1;0;0;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;300;60;50;;;
1516-73-08;18/01/2016;13:05;73;modane;haute maurienne;col du petit argentier;"45ø8'8.47"" / 6ø38'53.22""";2600;>45;E;52;18;11;8;3;7;6;8;4;randonn‚e;ski;mont‚e;3;sŠche;;lin‚aire;accidentelle soi-mˆme;260;220;180;;;
1516-73-09;20/01/2016;12:25;73;les allues;vanoise;crˆte roc des trois/mont de la chambre versant est;"45ø19'58"" / 6ø34'21""";2650;>45;E;2;1;1;1;0;0;0;1;0;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;130;180;200;;;
1516-73-10;21/01/2016;;73;champagny en vanoise;vanoise;combe des arri‚r‚s;;;;;3;3;0;0;0;0;0;0;3;hors-piste;ski;descente;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;200;;;;
1516-73-11;21/01/2016;13:55;73;la cote d'aime;beaufortain;mont rosset;;2440;;;1;1;0;0;0;0;0;1;0;randonn‚e;ski;;;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-73-12;25/01/2016;14:50;73;champagny en vanoise;vanoise;vallon de la veliŠre;;;>45;S;3;1;0;0;0;0;0;1;0;randonn‚e;… pieds;travers‚e;;humide;tendre;;naturelle;;;;;;
1516-73-13;27/01/2016;11:38;73;saint bon courchevel;vanoise;couloir du ruisseau de la planche / vall‚e des avanchers;"45ø22'5"" / 6ø39'39""";2490;30-34;NE;9;4;0;0;0;1;0;1;3;hors-piste;ski;descente;2;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;50;30;;;
